"id","name","cm","phone","address","postal_code","city","longitude","latitude"
"1","CGO VI GRENTHEVILLE","3428","A RENSEIGNER","Rue des frères Lumière","14540","GRENTHEVILLE","-0.31194","49.154609"
"2","Argancy","3018","03-87-73-55-40","RUE BLERIOT ZI D ENNERY","57640","ARGANCY","6.208611","49.212005"
"3","Base av. Saint Avold","3395"," ","ZONE DE L'EUROPORT","57500","SAINT AVOLD","6.690273","49.143423"
"4","Auxerre","3025","03-86-18-00-40","14, ALLEE DES FRERES LUMIERE","89000","AUXERRE","3.584095","47.812862"
"5","Besançon","3036","03-81-53-06-96","22 BIS, RUE AUGUSTE JOUCHOUX","25000","BESANCON","5.986596","47.240697"
"6","Chalon sur Saône","3066","03-85-46-89-70","11 RUE PIERRE DE COUBERTIN Z.I. NORD","71100","CHALON S SAONE",NULL,NULL
"7","Dijon Saint Apollinaire","3102","03-80-28-85-20","RUE DE LA GOULETTE ZAC DU BOIS GUILLAUME","21850","ST APOLLINAIRE",NULL,NULL
"8","Base av. Langres","3383","03-80-28-85-30","5 RUE JEAN MOULIN","52260","ROLAMPONT","5.281649","47.947838"
"9","Golbey","3159","03-29-81-11-20","68 RUE LORRAINE LA COTE OLIE RN57","88190","GOLBEY","6.440685","48.210748"
"10","Haguenau VI","3164","03-88-73-30-79","15 ROUTE DE BITCHE","67500","HAGUENAU","7.778019","48.820201"
"11","Illzach VI","3166","03-89-31-12-61","RUE D ANNECY","68110","ILLZACH","7.379794","47.77101"
"12","Ludres VI","3203","03-83-57-33-15","422 RUE PIERRE ET MARIE CURIE","54710","LUDRES","6.186235","48.617805"
"13","Romilly","3292","03-25-21-04-44","R19 CARREF DIDEROT","10100","ROMILLY SUR SEINE","3.714488","48.511335"
"14","Saint Dié","3302","03-29-53-14-14","38 ROUTE DE RAON L ETAPE","88100","ST DIE DES VOSGES","6.925152","48.307254"
"15","Saint Germain","3308","03-25-75-88-40","ROUTE D AUXERRE R.N. 77","10120","SAINT GERMAIN","4.056999","48.273804"
"16","Saint Nabord","3318","03-29-62-23-13","24 RANFAING ECHANGEUR MOULIN","88200","ST NABORD","6.576985","48.031135"
"17","Base av. Imling","3168","03-87-25-71-43","ROUTE DE LORQUIN","57400","IMLING","7.026448","48.71002"
"18","Sarrebourg","3329","03-87-25-71-43","5, RUE DU DOCTEUR SCHWEITZER","57400","SARREBOURG","7.055211","48.739264"
"19","Sens VL","3330","03-86-83-87-30","105, RUE DU GENERAL DE GAULLE","89100","SENS","3.284327","48.190084"
"20","Strasbourg Port du Rhin VI","3336","03-88-39-39-09","3, RUE DE BAYONNE ZONE EUROFRET","67100","STRASBOURG","7.782462","48.52561"
